Store Number,Store Name,Address,Latitude,Longitude,Fresh Pizza,F'Real,E85,Fresh Food,Diesel,Wi-Fi,Seating,Open 24hrs,Redbox,eBlend,ATM,Pay at the Pump
0080,Kum & Go #0080,"1178 Enterprise Dr Riverside, IA 52327",41.4864769,-91.55425,1,1,1,0,1,0,0,1,1,1,1,1
0504,Kum & Go #0504,"1310 S Gilbert St Iowa City, IA 52240",41.38459,-91.31537,0,0,0,0,0,0,0,0,0,0,1,1
0509,Kum & Go #0509,"1203 Blairs Ferry Rd Marion, IA 52302",42.03214,-91.62497,1,1,1,1,1,0,0,1,1,1,1,1
0503,Kum & Go #0503,"3215 7th Ave Marion, IA 52302",42.0349131,-91.5774843,1,1,1,1,1,0,0,1,0,1,1,1
0517,Kum & Go #0517,"3132 1st Ave NE Cedar Rapids, IA 52406",42.00941,-91.63538,1,1,1,1,1,0,0,1,1,1,1,1
0514,Kum & Go #0514,"1420 Mt Vernon Rd SE Cedar Rapids, IA 52404",41.97799,-91.65123,1,1,1,1,1,0,0,1,1,1,1,1
0520,Kum & Go #0520,"2604 16th Ave Cedar Rapids, IA 52404",41.96327,-91.70697,1,1,1,1,1,0,0,1,0,1,1,1
0507,Kum & Go #0507,"610 N Kansas Ave North Liberty, IA 52317",41.75263,-91.63675,1,1,1,0,1,0,0,1,1,1,1,1
0137,Kum & Go #0137,"101 Village Dr Tiffin, IA 52340",41.6960144,-91.66611,1,1,1,0,1,0,0,1,1,1,1,1
0508,Kum & Go #0508,"30 Four Oaks Drive SW Cedar Rapids, IA 52404",41.92347,-91.65742,1,1,1,1,1,0,0,1,1,1,1,1
0524,Kum & Go #0524,"2600 Holiday Rd Coralville, IA 52241",41.70015,-91.60744,1,1,1,1,1,0,0,1,0,1,1,1
0201,Kum & Go #0201,"822 1st Ave Coralville, IA 52241",41.68148,-91.56623,1,1,1,1,1,1,1,1,0,1,1,1
0521,Kum & Go #0521,"205 2nd St Coralville, IA 52241",41.67042,-91.5672,1,1,1,1,1,0,0,1,0,1,1,1
3502,Kum & Go #3502,"2303 Muscatine Ave. Iowa City, IA 52240",41.649281,-91.501633,1,1,0,1,0,0,0,1,1,0,1,1
0422,Kum & Go #0422,"731 S Riverside Dr Iowa City, IA 52246",41.6535263,-91.54063,1,1,1,1,1,1,1,1,1,1,1,1
0053,Kum & Go #0053,"955 Morman Trek Blvd Iowa City, IA 52246-4410",41.6502457,-91.57436,0,0,0,0,0,0,0,1,1,0,1,1
0051,Kum & Go #0051,"323 E Burlington St Iowa City, IA 52240-1606",41.65775,-91.530304,0,1,0,0,0,0,0,1,1,0,1,1
0052,Kum & Go #0052,"25 W Burlington St Iowa City, IA 52240-3812",41.6578522,-91.53765,0,0,0,0,0,0,0,1,0,0,1,1
0254,Kum & Go #0254,"620 S Downey St West Branch, IA 52358",41.66173,-91.34738,1,0,0,0,1,0,0,1,1,0,1,1
0267,Kum & Go #0267,"2050 IA Highway 38 Tipton, IA 52772",41.6477623,-91.11592,1,1,1,0,1,0,0,1,0,1,1,1
0438,Kum & Go #0438,"1429 Park Ave Muscatine, IA 52761",41.44196,-91.03027,1,1,1,1,1,0,0,1,1,1,1,1
1436,Kum & Go #1436,"416 Cedar St Muscatine, IA 52761",41.4247,-91.04595,1,1,1,1,1,1,1,1,0,1,1,1
