Store Number,Store Name,Address,Latitude,Longitude
8116,Great Clips at Mountain Gate Marketplace,"(Between Pickup Stix & Pizza Hut) 360 W Foothill PkwySte 104 360 W Foothill Pkwy Ste 104 Corona, CA 92882",33.84840363640127,-117.574856
8959,Great Clips at Arlington Plaza,"(Next to Foodtown) 23 Schuyler Ave 23 Schuyler Ave  North Arlington, NJ 07031",40.78293463640127,-74.130173
3078,Great Clips at Portofino Condominium Building," 1 2nd St 1 2nd St  Jersey City, NJ 07302",40.72595163640127,-74.035301
1628,Great Clips at Watchung Square Mall,"(Between Steinmart & Stop & Shop) 1511 Route 22 W 1511 Route 22 W  Watchung, NJ 07069",0,0
9361,Great Clips at Aviation Plaza,"(Behind Starbucks) 697 W Edgar Rd 697 W Edgar Rd  Linden, NJ 07036",40.62393463640127,-74.248981
1632,Great Clips at Shrewsbury Plaza,"(Between Acme & AC Moore) 170 Shrewsbury Plz 170 Shrewsbury Plz  Shrewsbury, NJ 07702",40.32018463640127,-74.065208
8155,Great Clips at Hidden Valley Plaza,"(Between Kohl's & Stater Bros.) 540 Hidden Valley PkwySte 105 540 Hidden Valley Pkwy Ste 105 Corona, CA 92879",33.90274263640127,-117.555807
2543,Great Clips at East Meadow Mall,"(Between Stew Leonard's & Marshalls) 1969 Front St 1969 Front St  East Meadow, NY 11554",40.726270636401274,-73.563152
8170,Great Clips at Redlands Village,"(Next to Stater Bros., corner of Wabash St) 1785 E Lugonia AveSte 101 1785 E Lugonia Ave Ste 101 Redlands, CA 92374",34.075547636401275,-117.139621
9215,Great Clips at Midstate Mall,"(Near ShopRite, across from NYSC) 300 Rte 18Unit 29 300 Rte 18 Unit 29 East Brunswick, NJ 08816",40.46138463640127,-74.39488
5785,Great Clips at San Dimas Marketplace,"(Next to Trader Joe's in Target Center) 844 W Arrow Hwy, Unit A 844 W Arrow Hwy, Unit A  San Dimas, CA 91773",34.108331636401275,-117.821498
8730,Great Clips at Downtown Fair Lawn,"(Across from CVS) 24-11 Fair Lawn Ave 24-11 Fair Lawn Ave  Fair Lawn, NJ 07410",40.944201636401274,-74.118704
8106,Great Clips at Citrus Village,"(In Albertsons, next to Subway) 1240 E Ontario AveSte 108 1240 E Ontario Ave Ste 108 Corona, CA 92881",33.85176463640127,-117.543499
9123,Great Clips at Mount Kisco Center,"(Beside Target & Stop & Shop) 195 N Bedford Rd 195 N Bedford Rd  Mount Kisco, NY 10549",41.22089563640127,-73.720136
2398,Great Clips at Oak Park Commons,"(In CVS & Acme Mall) 911C Oak Tree Ave S 911C Oak Tree Ave S  South Plainfield, NJ 07080",40.58243563640127,-74.387739
8122,Great Clips at Alta Loma Square,"(In the Von's Center) 8746 19th St 8746 19th St  Alta Loma, CA 91701",34.13845563640127,-117.615114
8178,Great Clips at Sierra Crossroads,"(Corner of Jurupa Ave by Stater Bros.) 11251 Sierra AveSte 2D 11251 Sierra Ave Ste 2D Fontana, CA 92337",34.053607636401274,-117.43395
2896,Great Clips at Madison Plaza,"(At 91, next to 24 Hour Fitness) 3522 Madison StSte 103 3522 Madison St Ste 103 Riverside, CA 92504",33.94058863640127,-117.407051
8163,Great Clips at Villages at East Highland,"(Next to Stater Bros.) 28948 Greenspot RdSte B-6 28948 Greenspot Rd Ste B-6 Highland, CA 92346",0,0
8840,Great Clips at Franklin Crossing,"(Near Stop & Shop) 834 Franklin Ave 834 Franklin Ave  Franklin Lakes, NJ 07417",41.028357636401275,-74.21114
9236,Great Clips at Lodi Mid Towne Plaza,"(Across street from Shop Rite) 170 Main St 170 Main St  Lodi, NJ 07644",40.88316363640127,-74.083857
3167,Great Clips at Eastland Center," 2648 E Workman AveSte 3006 2648 E Workman Ave Ste 3006 West Covina, CA 91791",0,0
5762,Great Clips at Brea Marketplace," 955 E Birch StSte G 955 E Birch St Ste G Brea, CA 92821",33.92324963640127,-117.886268
8156,Great Clips at Canyon Crest Towne Centre,"(Behind Starbucks, next to East Coast Bagel) 5225 Canyon Crest DrSte 35 5225 Canyon Crest Dr Ste 35 Riverside, CA 92507",0,0
9044,Great Clips at Stop & Shop," 40 Washington Ave 40 Washington Ave  Dumont, NJ 07628",40.94129563640127,-73.995307
9234,Great Clips at Holmdel Towne Center,"(35 N, next to A&P) 2101 Hwy 35Ste 107 2101 Hwy 35 Ste 107 Holmdel, NJ 07733",40.41856763640127,-74.142426
5744,Great Clips at Sierra Lakes Marketplace," 16595 Sierra Lakes PkwySte 200 16595 Sierra Lakes Pkwy Ste 200 Fontana, CA 92336",34.14274063640127,-117.441342
